const,nconst,actor,gender,ordering
tt0016439,nm0193005,Frank Currier,2.0,2
tt0016439,nm0851721,Albert Tavernier,2.0,3
tt0016439,nm0397291,Frances Howard,0.0,4
tt0016439,nm0001635,William Powell,2.0,5
tt0016439,nm0659947,Paul Panzer,2.0,6
tt0016439,nm0524975,Arthur Ludwig,2.0,7
tt0016439,nm6799627,Joseph Burke,2.0,8
tt0016439,nm0555617,Harpo Marx,2.0,9
tt0016439,nm0589898,Alyce Mills,1.0,10
tt0016822,nm0601067,Colleen Moore,1.0,1
tt0016822,nm0400763,Lloyd Hughes,2.0,2
tt0016822,nm0507849,Vera Lewis,1.0,3
tt0016822,nm0048408,Doris Baker,1.0,4
tt0016822,nm0314193,Emily Gerdes,1.0,5
tt0016822,nm0232592,Mike Donlin,2.0,6
tt0016822,nm0698985,Jed Prouty,2.0,7
tt0016822,nm0240538,Jack Duffy,2.0,8
tt0016822,nm0020568,Harry Allen,2.0,9
tt0016822,nm0337586,Alfred E. Green,2.0,10
tt0018033,nm0001966,Clara Bow,1.0,1
tt0018033,nm0603875,Antonio Moreno,2.0,2
tt0018033,nm0042552,William Austin,2.0,3
tt0018033,nm0094924,Priscilla Bonner,1.0,4
tt0018033,nm0300615,Jacqueline Gadsdon,,5
tt0018033,nm0330352,Julia Swayne Gordon,1.0,6
tt0018033,nm0323325,Elinor Glyn,1.0,7
tt0018033,nm0082468,Elmo Billings,2.0,8
tt0018033,nm0000011,Gary Cooper,2.0,9
tt0018033,nm0180987,Lloyd Corrigan,2.0,10
tt0018773,nm0000122,Charles Chaplin,,1
tt0018773,nm0448224,Merna Kennedy,1.0,2
tt0018773,nm0305087,Al Ernest Garcia,2.0,3
tt0018773,nm0188357,Harry Crocker,2.0,4
tt0018773,nm0204639,George Davis,2.0,5
tt0018773,nm0074788,Henry Bergman,2.0,6
tt0018773,nm0761866,Tiny Sandford,2.0,7
tt0018773,nm0709466,John Rand,2.0,8
tt0018773,nm0614730,Steve Murphy,2.0,9
tt0018773,nm0042317,Albert Austin,2.0,10
tt0019788,nm0681933,Mary Pickford,1.0,1
tt0019788,nm0113902,Johnny Mack Brown,2.0,2
tt0019788,nm0601596,Matt Moore,2.0,3
tt0019788,nm0820821,John St. Polis,2.0,4
tt0019788,nm0417829,William Janney,2.0,5
tt0019788,nm0464137,Henry Kolker,2.0,6
tt0019788,nm0410271,George Irving,2.0,7
tt0019788,nm0064792,Louise Beavers,1.0,8
tt0019788,nm6486722,Jay Berger,0.0,9
tt0019788,nm0186413,Phyllis Crane,1.0,10
tt0019850,nm0772184,Karel Schleichert,2.0,1
tt0019850,nm0727340,Ita Rina,1.0,2
tt0019850,nm0280766,Olaf Fjord,2.0,3
tt0019850,nm0685550,Theodor Pistek,,4
tt0019850,nm0839779,Charlotte Susa,1.0,5
tt0019850,nm0785802,Luigi Serventi,2.0,6
tt0019850,nm0835336,Ladislav H. Struna,,7
tt0019850,nm0050056,Milka Balek-Brodská,1.0,8
tt0019850,nm0468351,Bohumil Kovár,,9
tt0019850,nm1043086,Bedrich Saxl,,10
tt0020152,nm0121740,Johnny Burke,2.0,1
tt0020152,nm0251755,Sally Eilers,1.0,2
tt0020152,nm0689461,Daphne Pollard,1.0,3
tt0020152,nm0447339,Matty Kemp,2.0,4
tt0020152,nm0001479,Carole Lombard,1.0,5
tt0020152,nm0045784,Irving Bacon,2.0,6
tt0020152,nm0167395,Andy Clyde,2.0,7
tt0020152,nm0863357,Ronald Tilley,0.0,8
tt0020152,nm0275988,Madalynne Field,1.0,9
tt0020152,nm0822530,Kathryn Stanley,0.0,10
tt0020475,nm0000315,Louise Brooks,1.0,1
tt0020475,nm0746280,Josef Rovenský,2.0,2
tt0020475,nm0003248,Fritz Rasp,2.0,3
tt0020475,nm0576906,Edith Meinhard,1.0,4
tt0020475,nm0668060,Vera Pawlowa,1.0,5
tt0020475,nm0668060,Vera Pawlowa,1.0,6
tt0020475,nm0730109,André Roanne,2.0,7
tt0020475,nm0730109,André Roanne,2.0,8
tt0020475,nm0466232,Arnold Korff,2.0,9
tt0020475,nm0466232,Arnold Korff,2.0,10
tt0020475,nm0257262,Andrews Engelmann,2.0,11
tt0020475,nm0257262,Andrews Engelmann,2.0,12
tt0020475,nm0314960,Valeska Gert,1.0,13
tt0020475,nm0314960,Valeska Gert,1.0,14
tt0020475,nm0455953,Franziska Kinz,1.0,15
tt0021647,nm0550620,Marian Marsh,1.0,1
tt0021647,nm0543115,David Manners,2.0,2
tt0021647,nm0929925,Warren William,2.0,3
tt0021647,nm0125325,Charles Butterworth,2.0,4
tt0021647,nm0449694,Frederick Kerr,2.0,5
tt0021647,nm0233390,Mary Doran,1.0,6
tt0021647,nm0340063,Robert Greig,2.0,7
tt0021647,nm0093988,Lilian Bond,1.0,8
tt0021647,nm0195595,Yola d'Avril,1.0,9
tt0021647,nm0245309,Geraldine Dvorak,,10
tt0021749,nm0000122,Charles Chaplin,,1
tt0021749,nm0156039,Virginia Cherrill,1.0,2
tt0021749,nm5681967,Florence Lee,1.0,3
tt0021749,nm0616729,Harry Myers,2.0,4
tt0021749,nm0305087,Al Ernest Garcia,2.0,5
tt0021749,nm0003424,Hank Mann,2.0,6
tt0021749,nm0008609,Johnny Aber,,7
tt0021749,nm1033905,Jack Alexander,,8
tt0021749,nm1035024,T.S. Alexander,,9
tt0021749,nm1033907,Victor Alexander,,10
tt0021884,nm0166972,Colin Clive,2.0,1
tt0021884,nm0164883,Mae Clarke,1.0,2
tt0021884,nm0000472,Boris Karloff,2.0,3
tt0021884,nm0092900,John Boles,2.0,4
tt0021884,nm0888000,Edward Van Sloan,2.0,5
tt0021884,nm0449694,Frederick Kerr,2.0,6
tt0021884,nm0296859,Dwight Frye,2.0,7
tt0021884,nm0069373,Lionel Belmore,2.0,8
tt0021884,nm0365048,Marilyn Harris,1.0,9
tt0021884,nm0082501,Ted Billings,2.0,10
tt0022119,nm0001635,William Powell,2.0,1
tt0022119,nm0001479,Carole Lombard,1.0,2
tt0022119,nm0317224,Wynne Gibson,1.0,3
tt0022119,nm0336770,Lawrence Gray,2.0,4
tt0022119,nm0452128,Guy Kibbee,2.0,5
tt0022119,nm0151370,George Chandler,2.0,6
tt0022119,nm0116897,Arthur Q. Bryan,,7
tt0022119,nm0156005,André Cheron,2.0,8
tt0022119,nm0164003,Harvey Clark,2.0,9
tt0022119,nm0182617,Tom Costello,2.0,10
tt0022268,nm0001318,Jean Harlow,1.0,1
tt0022268,nm0949835,Loretta Young,1.0,2
tt0022268,nm0931551,Robert Williams,2.0,3
tt0022268,nm0387561,Halliwell Hobbes,2.0,4
tt0022268,nm0654239,Reginald Owen,2.0,5
tt0022268,nm0106785,Edmund Breese,2.0,6
tt0022268,nm0226858,Don Dillaway,2.0,7
tt0022268,nm0146185,Walter Catlett,2.0,8
tt0022268,nm0021502,Claud Allister,2.0,9
tt0022268,nm0167113,Louise Closser Hale,1.0,10
tt0022517,nm0550620,Marian Marsh,1.0,1
tt0022517,nm0656105,Anita Page,1.0,2
tt0022517,nm0867538,Regis Toomey,2.0,3
tt0022517,nm0929925,Warren William,2.0,4
tt0022517,nm0287988,Norman Foster,2.0,5
tt0022517,nm0174049,Joyce Compton,1.0,6
tt0022517,nm0531759,J. Farrell MacDonald,2.0,7
tt0022517,nm0230068,Claire Dodd,1.0,8
tt0022517,nm0691668,Paul Porcasi,2.0,9
tt0022517,nm0248291,Maude Eburne,1.0,10
tt0022698,nm0000017,Marlene Dietrich,1.0,1
tt0022698,nm0000026,Cary Grant,2.0,2
tt0022698,nm0003339,Herbert Marshall,2.0,3
tt0022698,nm0601129,Dickie Moore,2.0,4
tt0022698,nm0604674,Gene Morgan,2.0,5
tt0022698,nm0478996,Rita La Roy,1.0,6
tt0022698,nm0640495,Robert Emmett O'Connor,2.0,7
tt0022698,nm0866010,Sidney Toler,2.0,8
tt0022698,nm0908797,Morgan Wallace,2.0,9
tt0022698,nm0017458,Eric Alden,,10
tt0022867,nm0001443,Hedy Lamarr,1.0,1
tt0022867,nm0737396,Zvonimir Rogoz,2.0,2
tt0022867,nm0595687,Aribert Mog,2.0,3
tt0022867,nm0469597,Leopold Kramer,2.0,4
tt0022867,nm1122569,Emil Jerman,,5
tt0022867,nm0806362,Eduard Slégl,,6
tt0022867,nm1175882,Antonín Kubový,2.0,7
tt0022867,nm0841324,Jan Sviták,2.0,8
tt0022867,nm0904032,Bedrich Vrbský,,9
tt0022867,nm0827354,Jirina Stepnicková,,10
tt0022913,nm0285922,Wallace Ford,2.0,1
tt0022913,nm0404885,Leila Hyams,1.0,2
tt0022913,nm0045754,Olga Baclanova,1.0,3
tt0022913,nm0040374,Roscoe Ates,2.0,4
tt0022913,nm0896109,Henry Victor,2.0,5
tt0022913,nm0247361,Harry Earles,2.0,6
tt0022913,nm0247360,Daisy Earles,1.0,7
tt0022913,nm0227946,Rose Dione,,8
tt0022913,nm0385238,Daisy Hilton,1.0,9
tt0022913,nm0385319,Violet Hilton,1.0,10
