actor_a,actor_b,co_appearances
Bruce Lee,Shan Chin,2
Bruce Lee,Tony Liu,2
Bruce Lee,Ying-Chieh Han,2
James Tien,Maria Yi,2
James Tien,Nora Miao,2
James Tien,Shan Chin,2
James Tien,Ying-Chieh Han,2
Maria Yi,Nora Miao,2
Maria Yi,Shan Chin,2
Maria Yi,Ying-Chieh Han,2
Nora Miao,Shan Chin,2
Nora Miao,Tony Liu,2
Nora Miao,Ying-Chieh Han,2
Shan Chin,Ying-Chieh Han,2
Peter Cushing,Vincent Price,2
Bruce Lee,Robert Wall,2
Diane Keaton,Tony Roberts,2
Tony Roberts,Woody Allen,2
Pam Grier,Sid Haig,2
Ruben Moreno,Sid Haig,2
Charles Bronson,Vincent Gardenia,2
David Chiang,Kuan-Chun Chi,2
David Chiang,Lung Ti,2
David Chiang,Lung-Wei Wang,2
David Chiang,Sheng Fu,2
Ka-Yan Leung,Kuan-Chun Chi,2
Ka-Yan Leung,Lung-Wei Wang,2
Ka-Yan Leung,Sheng Fu,2
Kuan-Chun Chi,Lung Ti,2
Lung Ti,Lung-Wei Wang,2
Lung Ti,Sheng Fu,2
Sheng Fu,Ti Lu,2
Aleksandr Belyavskiy,Aleksandr Shirvindt,2
Aleksandr Belyavskiy,Andrey Myagkov,2
Aleksandr Belyavskiy,Barbara Brylska,2
Aleksandr Belyavskiy,Valentina Talyzina,2
Aleksandr Belyavskiy,Yuriy Yakovlev,2
Aleksandr Shirvindt,Andrey Myagkov,2
Aleksandr Shirvindt,Barbara Brylska,2
Aleksandr Shirvindt,Valentina Talyzina,2
Aleksandr Shirvindt,Yuriy Yakovlev,2
Andrey Myagkov,Barbara Brylska,2
Andrey Myagkov,Liya Akhedzhakova,2
Andrey Myagkov,Valentina Talyzina,2
Andrey Myagkov,Yuriy Yakovlev,2
Barbara Brylska,Valentina Talyzina,2
Barbara Brylska,Yuriy Yakovlev,2
Valentina Talyzina,Yuriy Yakovlev,2
Chen Kuan-Tai,Chia-Hui Liu,2
Chen Kuan-Tai,Kang-Yeh Cheng,2
Chen Kuan-Tai,Lily Li,2
Chen Kuan-Tai,Tao Chiang,2
Chen Kuan-Tai,Yue Wong,2
Chia-Hui Liu,Chia-Liang Liu,2
Chia-Hui Liu,Kang-Yeh Cheng,2
Chia-Hui Liu,Tao Chiang,2
Chia-Liang Liu,Lily Li,2
Chia-Liang Liu,Liu Chia-Yung,2
Kang-Yeh Cheng,Lily Li,2
Kang-Yeh Cheng,Tao Chiang,2
Kang-Yeh Cheng,Yue Wong,2
Lily Li,Tao Chiang,2
Lily Li,Yue Wong,2
Liu Chia-Yung,Yue Wong,2
Tao Chiang,Yue Wong,2
Hung Tsai,Lung-Wei Wang,2
Joe Spinell,Sylvester Stallone,2
Feng Lu,Hsi Chang,2
Hsi Chang,Phillip Chung-Fung Kwok,2
Hsi Chang,Sheng Chiang,2
Lo Lieh,Yue Wong,2
Hung Tsai,Phillip Chung-Fung Kwok,2
Chien Sun,Tai-Ping Yu,2
Feng Lu,Tai-Ping Yu,2
Lung-Wei Wang,Miao Ching,2
Lung-Wei Wang,Tai-Ping Yu,2
Meng Lo,Tai-Ping Yu,2
Phillip Chung-Fung Kwok,Tai-Ping Yu,2
